Timestamp,Event_Type,Status,TT06,Target_Temp,Active_Setpoint,Dew_Max,Amb_S1_T,Amb_S1_H,Amb_S1_D,Amb_S2_T,Amb_S2_H,Amb_S2_D,TT01,TT02,TT03,TT04,TT05
2026-01-28 15:04:26,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.299999237060547,20.5,29.508346557617188,19.899999618530273
2026-01-28 15:04:37,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.299999237060547,20.5,27.66503143310547,19.899999618530273
2026-01-28 15:04:48,POLL,Polling,19.899999618530273,,,,,,,,,,19.899999618530273,23.299999237060547,20.5,26.773887634277344,19.899999618530273
2026-01-28 15:04:58,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.200000762939453,20.5,26.16352081298828,19.899999618530273
2026-01-28 15:05:08,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.200000762939453,20.5,25.601974487304688,19.899999618530273
2026-01-28 15:05:19,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.200000762939453,20.5,25.345619201660156,19.899999618530273
2026-01-28 15:05:29,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.200000762939453,20.5,25.247962951660156,19.899999618530273
2026-01-28 15:05:40,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.200000762939453,20.5,24.832908630371094,19.899999618530273
2026-01-28 15:05:50,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.100000381469727,20.5,24.979400634765625,19.899999618530273
2026-01-28 15:06:01,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.100000381469727,20.5,24.967193603515625,19.899999618530273
2026-01-28 15:06:11,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.0,20.5,24.491104125976562,19.899999618530273
2026-01-28 15:06:22,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.0,20.5,24.698631286621094,19.899999618530273
2026-01-28 15:06:32,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.0,20.5,24.491104125976562,19.899999618530273
2026-01-28 15:06:42,POLL,Polling,19.899999618530273,,,,,,,,,,19.799999237060547,23.0,20.5,24.28357696533203,19.899999618530273
2026-01-28 15:06:53,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,23.0,20.5,24.33240509033203,19.799999237060547
2026-01-28 15:07:03,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,23.0,20.5,24.16150665283203,19.899999618530273
2026-01-28 15:07:14,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,23.0,20.5,24.22254180908203,19.799999237060547
2026-01-28 15:07:24,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,23.0,20.5,24.18592071533203,19.799999237060547
2026-01-28 15:07:34,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,23.0,20.5,24.27136993408203,19.799999237060547
2026-01-28 15:07:45,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,23.0,20.5,24.18592071533203,19.799999237060547
2026-01-28 15:07:55,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,23.0,20.5,24.28357696533203,19.799999237060547
2026-01-28 15:08:06,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,22.899999618530273,20.5,24.36902618408203,19.799999237060547
2026-01-28 15:08:17,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,23.0,20.5,47.61192321777344,19.799999237060547
2026-01-28 15:08:27,POLL,Polling,19.799999237060547,,,,,,,,,,19.799999237060547,23.100000381469727,20.600000381469727,80.0103759765625,19.799999237060547
2026-01-28 15:08:37,POLL,Polling,19.799999237060547,,,,,,,,,,15.199999809265137,22.200000762939453,22.700000762939453,103.30210876464844,19.799999237060547
2026-01-28 15:08:48,POLL,Polling,19.799999237060547,,,,,,,,,,7.5,20.0,23.600000381469727,97.32048034667969,19.799999237060547
2026-01-28 15:08:58,POLL,Polling,19.799999237060547,,,,,,,,,,1.2000000476837158,17.200000762939453,24.5,85.91876220703125,19.799999237060547
2026-01-28 15:09:09,POLL,Polling,19.799999237060547,,,,,,,,,,-2.5999999046325684,14.699999809265137,24.0,74.50483703613281,19.799999237060547
2026-01-28 15:09:19,POLL,Polling,19.799999237060547,,,,,,,,,,-5.599999904632568,12.300000190734863,23.5,74.15081787109375,19.799999237060547
2026-01-28 15:09:30,POLL,Polling,19.799999237060547,,,,,,,,,,-8.0,10.0,23.200000762939453,94.70808410644531,19.799999237060547
2026-01-28 15:09:40,POLL,Polling,19.799999237060547,,,,,,,,,,-10.100000381469727,7.699999809265137,23.100000381469727,118.59797668457031,19.799999237060547
2026-01-28 15:09:51,POLL,Polling,19.799999237060547,,,,,,,,,,-8.699999809265137,6.099999904632568,22.799999237060547,135.05355834960938,19.799999237060547
2026-01-28 15:10:01,POLL,Polling,19.799999237060547,,,,,,,,,,-2.200000047683716,7.900000095367432,22.700000762939453,123.71287536621094,19.799999237060547
2026-01-28 15:10:11,POLL,Polling,19.799999237060547,,,,,,,,,,0.800000011920929,9.699999809265137,22.600000381469727,96.41712951660156,19.799999237060547
2026-01-28 15:10:22,POLL,Polling,19.799999237060547,,,,,,,,,,2.0999999046325684,10.899999618530273,23.0,74.88327026367188,19.799999237060547
2026-01-28 15:10:32,POLL,Polling,19.799999237060547,,,,,,,,,,2.700000047683716,11.699999809265137,23.200000762939453,60.63722229003906,19.799999237060547
2026-01-28 15:10:43,POLL,Polling,19.799999237060547,,,,,,,,,,3.0,12.199999809265137,23.200000762939453,50.35859680175781,19.799999237060547
2026-01-28 15:10:53,POLL,Polling,19.799999237060547,,,,,,,,,,3.0999999046325684,12.600000381469727,23.200000762939453,42.53364562988281,19.799999237060547
2026-01-28 15:11:04,POLL,Polling,19.799999237060547,,,,,,,,,,3.200000047683716,12.800000190734863,23.200000762939453,36.72291564941406,19.799999237060547
2026-01-28 15:11:14,POLL,Polling,19.799999237060547,,,,,,,,,,3.299999952316284,13.0,23.200000762939453,32.938629150390625,19.799999237060547
